IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
441430502,Trois Moulins-La Houssais,44143,Rezé,62.7,9.9,18460,24470,31650,0.54,13080,16980,19690,22040,27160,30170,34030,40760,3.1,3.8,0.248,71,65.2,2.4,3.4,26.7,2.3,0
441430601,Naudières-Landes Saint-Pierre,44143,Rezé,51.7,19.5,14990,21760,28630,0.63,7320,13170,16640,19340,24050,26960,31070,38070,5.2,6.1,0.305,73.6,67.6,3.1,2.9,23.9,2.5,0
441430602,Morinière-Jaunais,44143,Rezé,58,15,16850,23420,30230,0.57,10190,15030,18640,21450,26040,28770,32660,39190,3.8,5.1,0.292,69.9,63.4,3,3.5,27,3.1,0
441430701,Ragon Ouest,44143,Rezé,55.3,15.9,16170,23040,29950,0.6,9670,14250,17660,20530,25470,28220,32110,38860,4,5.2,0.294,79.8,75.4,2.5,1.9,15.8,4.4,0
441430702,Ragon Est,44143,Rezé,57.6,13.8,17450,23860,31210,0.58,10120,15960,18940,21290,26820,29840,33370,39830,3.9,5.1,0.286,70.6,65.2,2.6,2.8,25.2,4.2,0
441540101,Mindin,44154,Saint-Brevin-les-Pins,55.4,10.3,18020,24190,31680,0.56,12660,16740,19350,21740,26400,29860,34010,40750,3.2,4.2,0.275,53.6,46.8,2.4,4.4,41.9,4.5,0
441540102,Les Pins,44154,Saint-Brevin-les-Pins,,,16730,21800,28540,0.54,11340,15120,17920,19720,23900,27020,30540,36730,3.2,4.2,0.273,41.6,37.4,2.2,2,52.7,5.7,0
441540103,L'Océan,44154,Saint-Brevin-les-Pins,63.2,9.2,19170,25520,34600,0.6,13350,17740,20480,22940,28790,32290,37590,46110,3.5,4.9,0.314,56.7,50.6,2.6,3.5,32.8,10.5,0
441540104,Les Villages,44154,Saint-Brevin-les-Pins,60.3,8.6,18990,23990,29940,0.46,13670,17230,19860,22070,26130,28350,32090,38110,2.8,3.4,0.233,69.4,64.4,2.6,2.4,25.9,4.7,0
441620101,Sillon de Bretagne,44162,Saint-Herblain,38.3,53.7,6050,11670,21300,1.31,1160,4610,7070,9140,15920,19220,23270,28260,24.4,19.7,0.422,80.1,73.1,6,1,18.6,1.3,0
441620102,Les Thébaudières,44162,Saint-Herblain,62.5,13.2,18340,24740,33270,0.6,11660,16080,19870,22490,27680,31680,36220,44390,3.8,4.7,0.282,60.9,55.9,2,3,34.5,4.6,0
441620103,Le Golf,44162,Saint-Herblain,54.6,15.8,16100,21840,29990,0.64,10210,14880,17520,19680,24530,27800,31480,37030,3.6,4.3,0.264,54.6,49.3,2.1,3.2,43.3,2.1,0
441620201,Route de Vannes,44162,Saint-Herblain,68.9,,21440,28240,37780,0.58,14790,19280,22790,25140,31750,35330,40370,50740,3.4,4.6,0.296,62.9,55.1,2.3,5.5,29.7,7.4,0
441620202,La Bouvardière,44162,Saint-Herblain,64.4,,19570,26150,34720,0.58,14750,18270,20910,23600,28850,32480,37590,46960,3.2,3.9,0.267,62.4,57.4,2,3,32.8,4.8,0
441620203,Beauséjour,44162,Saint-Herblain,54.8,19.2,15430,21820,29370,0.64,8100,13360,16870,19100,24550,27520,31100,37300,4.6,5.9,0.307,70.1,65.2,2.8,2.1,25.6,4.3,0
441620301,Les quatre vents,44162,Saint-Herblain,61.6,13.8,16930,24340,33680,0.69,10080,15110,18550,21270,27330,31510,36040,45430,4.5,6,0.323,79.2,70.5,2.8,5.9,17.8,3,0
441620302,Moulin du Tillay-La Garotterie,44162,Saint-Herblain,55.1,18.8,15010,22000,28350,0.61,7640,13500,16710,19380,24170,26920,30250,35640,4.7,5.4,0.284,63.4,58.7,2.7,2,34.7,1.9,0
441620401,Preux,44162,Saint-Herblain,48.6,27.4,11800,20220,27430,0.77,4630,9670,13660,17280,22690,25500,29030,36410,7.9,9,0.345,59.7,54,3.4,2.3,38.3,2,0
441620402,Crémetterie,44162,Saint-Herblain,51,22,14520,20730,27380,0.62,7180,12240,15950,18410,22830,25860,29020,35010,4.9,5.8,0.298,71.9,66.5,3.8,1.6,25.6,2.5,0
441620501,Harlière Nord,44162,Saint-Herblain,23.7,62.6,4120,10040,16800,1.26,120,2700,5140,7470,12320,15370,18890,23860,206.3,36.3,0.445,74,65.9,6.6,1.5,25.6,0.4,0
441620502,Harlière Sud,44162,Saint-Herblain,32.2,50.2,6550,12950,20330,1.06,1320,5070,7770,10550,16170,18840,21700,25800,19.5,14.6,0.382,68.4,61.1,6,1.3,30.6,1,0
441620503,Village Expo,44162,Saint-Herblain,55.3,19.2,14990,21320,28230,0.62,6970,13250,16720,19190,23850,26810,29870,34530,5,5.5,0.283,60.9,55.9,2.9,2.1,37.5,1.6,1
441620504,Bernardière,44162,Saint-Herblain,35.4,45.3,6320,14500,21890,1.07,620,5100,8130,11530,17780,20470,23660,28570,46.3,19.2,0.394,71.5,65.8,4.7,1,27.5,1,0
441620505,Moulin du Bois,44162,Saint-Herblain,41.4,33.5,10690,16880,22140,0.68,4860,9330,11930,14610,18860,20950,24180,29370,6,7,0.314,64.6,58.9,4.3,1.4,34.1,1.3,0
441620601,Solvardière,44162,Saint-Herblain,60.2,16.8,15530,22430,30610,0.67,8120,14120,17280,19860,25540,28610,32740,38610,4.8,5.5,0.293,84.5,77.9,3.2,3.4,13.2,2.3,0
441620602,Clos Amis,44162,Saint-Herblain,62.2,13.3,17220,24620,31840,0.59,11180,16040,18420,21720,27320,29900,35640,41930,3.7,4.8,0.291,69.3,64.9,2,2.4,26.6,4.1,0
441620603,Bourg Centre,44162,Saint-Herblain,54.7,23.3,13560,20360,26910,0.66,5760,10950,15050,17490,23400,25800,29090,34450,6,6.7,0.304,71.8,67.2,3.1,1.5,26.4,1.8,0
441620604,Pontpierre,44162,Saint-Herblain,59.7,13.9,17610,24720,32440,0.6,11430,15620,19240,22220,27180,30710,34730,42400,3.7,4.6,0.277,70.7,65.7,2.5,2.5,26.3,3,0
441620701,Bourgonnière,44162,Saint-Herblain,56.9,15.5,15910,22660,29440,0.6,10050,14790,17550,20320,25060,27750,31620,37090,3.7,4.6,0.269,70.3,66.2,2.7,1.4,27.2,2.5,0
441620702,Pelousière,44162,Saint-Herblain,57.6,16.5,16230,22370,29650,0.6,8540,14490,17520,20090,24890,27980,31990,37790,4.4,5.8,0.316,81.5,76.4,2.5,2.6,15.2,3.3,0
441620801,Bergerie-Les Écarts,44162,Saint-Herblain,63.4,13.5,18340,25480,33500,0.6,11370,16170,19930,22750,28380,31550,36300,42370,3.7,4.9,0.286,70.4,64.8,2.4,3.2,25.5,4.1,0
441720101,L'Auneau-Le Buisson,44172,Sainte-Luce-sur-Loire,68.6,,21490,27700,35800,0.52,16110,20130,23160,25360,30490,34080,38600,45570,2.8,3.7,0.26,66.3,62.4,1.8,2.1,29.7,4,0
441720102,Le Motay-Les Indulgences,44172,Sainte-Luce-sur-Loire,65.9,,20510,27060,36020,0.57,14040,19060,21880,24360,29810,33820,38690,49240,3.5,4.1,0.269,54.1,48.8,2.2,3.1,41,4.9,0
441720103,La Nobilière,44172,Sainte-Luce-sur-Loire,67.1,,20660,28400,35880,0.54,16160,19280,22210,25500,31000,34550,39220,47520,2.9,3.7,0.258,62.3,57.3,2.1,2.9,33.1,4.6,0
441720104,Le Chassay,44172,Sainte-Luce-sur-Loire,,,16310,22940,30740,0.63,8320,13570,17380,20330,25350,29150,33650,40050,4.8,5.9,0.299,60.9,56.9,2.3,1.7,35.8,3.3,0
441720105,Bellevue-La Bougrière-La Gicquelière,44172,Sainte-Luce-sur-Loire,57.9,14,17050,23460,31640,0.62,10630,15650,18410,20970,26180,29480,33870,40990,3.9,4.9,0.289,81.6,75.7,2.9,3,14.7,3.7,0
